Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11245402,0,"Saturday, February 16, 2013 14:13:09 UTC",34.1687,-116.8063,2.6,6.20,139,"Southern California"
nc,71938615,0,"Saturday, February 16, 2013 13:23:39 UTC",37.6320,-119.0240,1.2,5.30,19,"Long Valley area, California"
ci,11245394,0,"Saturday, February 16, 2013 13:19:27 UTC",36.0997,-117.7123,1.5,1.90,26,"Central California"
nc,71938595,0,"Saturday, February 16, 2013 13:06:35 UTC",38.7715,-122.7100,1.1,2.50,12,"Northern California"
ak,10657129,1,"Saturday, February 16, 2013 12:50:08 UTC",61.3551,-151.1912,1.5,4.60,11,"Southern Alaska"
nc,71938570,1,"Saturday, February 16, 2013 12:23:35 UTC",36.7755,-121.4305,2.0,9.80,29,"Central California"
hv,60450567,2,"Saturday, February 16, 2013 12:09:34 UTC",19.3808,-155.2835,2.4,2.50,24,"Island of Hawaii, Hawaii"
ak,10657114,1,"Saturday, February 16, 2013 12:00:03 UTC",63.2265,-150.4106,2.6,119.30,40,"Central Alaska"
ci,11245378,0,"Saturday, February 16, 2013 11:53:21 UTC",33.9130,-118.3523,1.5,8.30,34,"Greater Los Angeles area, California"
ak,10657110,1,"Saturday, February 16, 2013 11:50:07 UTC",62.7352,-150.9913,1.5,13.40, 7,"Central Alaska"
nc,71938555,0,"Saturday, February 16, 2013 11:41:08 UTC",40.9842,-121.6018,1.9,4.00,10,"Northern California"
ci,11245370,0,"Saturday, February 16, 2013 11:38:30 UTC",33.3163,-116.3565,1.1,12.00,28,"Southern California"
nc,71938550,1,"Saturday, February 16, 2013 11:22:00 UTC",38.8410,-122.8293,1.6,1.40,21,"Northern California"
nc,71938540,1,"Saturday, February 16, 2013 11:01:40 UTC",38.8110,-122.8232,1.5,2.40,25,"Northern California"
nc,71938535,0,"Saturday, February 16, 2013 10:52:35 UTC",38.7785,-122.7555,1.2,0.80,22,"Northern California"
nn,00403355,9,"Saturday, February 16, 2013 10:27:22 UTC",38.0798,-117.9797,2.5,4.70,40,"Nevada"
ak,10657097,1,"Saturday, February 16, 2013 10:13:38 UTC",59.0376,-154.4705,3.2,194.40,14,"Southern Alaska"
ci,11245354,0,"Saturday, February 16, 2013 10:10:12 UTC",34.0535,-117.2877,1.5,17.30,46,"Greater Los Angeles area, California"
ak,10657087,1,"Saturday, February 16, 2013 09:49:04 UTC",65.9348,-148.1808,2.0,4.30,13,"northern Alaska"
us,c000f8g1,7,"Saturday, February 16, 2013 09:47:02 UTC",-6.5314,129.8660,4.5,168.90,27,"Banda Sea"
ak,10657086,1,"Saturday, February 16, 2013 09:46:00 UTC",62.0099,-144.9022,1.7,5.20, 7,"Central Alaska"
nc,71938500,0,"Saturday, February 16, 2013 09:39:48 UTC",38.8205,-122.7622,1.4,2.20,21,"Northern California"
ak,10657079,1,"Saturday, February 16, 2013 09:11:19 UTC",60.7213,-147.4332,2.2,12.90,24,"Southern Alaska"
ci,11245338,0,"Saturday, February 16, 2013 09:03:22 UTC",32.3030,-115.4072,2.4,26.20,19,"Baja California, Mexico"
nn,00403347,9,"Saturday, February 16, 2013 09:00:00 UTC",38.0373,-118.0407,1.6,7.20,17,"Nevada"
nn,00403346,9,"Saturday, February 16, 2013 08:55:03 UTC",38.0430,-118.0178,2.9,6.00,40,"Nevada"
ci,11245322,0,"Saturday, February 16, 2013 08:54:33 UTC",33.0387,-116.4340,1.0,2.90,17,"Southern California"
ci,11245314,0,"Saturday, February 16, 2013 08:54:18 UTC",33.6535,-117.3443,1.3,6.00,15,"Southern California"
ci,11245306,0,"Saturday, February 16, 2013 08:49:06 UTC",35.4497,-118.3492,1.6,4.70,53,"Central California"
ak,10657067,1,"Saturday, February 16, 2013 08:48:53 UTC",59.0948,-151.1681,2.5,40.00,13,"Kenai Peninsula, Alaska"
hv,60450527,1,"Saturday, February 16, 2013 08:37:02 UTC",19.3270,-155.2203,1.9,6.20,21,"Island of Hawaii, Hawaii"
nn,00403344,9,"Saturday, February 16, 2013 08:28:05 UTC",38.0290,-118.0588,1.7,7.30,23,"Nevada"
nm,021613a,A,"Saturday, February 16, 2013 08:23:42 UTC",35.6848,-93.0275,2.0,12.70,11,"Arkansas"
nn,00403342,9,"Saturday, February 16, 2013 07:55:09 UTC",38.0177,-118.0757,1.6,6.80,20,"Nevada"
us,c000f8f1,B,"Saturday, February 16, 2013 07:53:31 UTC",28.1595,128.0397,4.4,123.70,84,"Ryukyu Islands, Japan"
nn,00403341,9,"Saturday, February 16, 2013 07:50:49 UTC",38.0212,-118.0658,1.9,11.60,35,"Nevada"
ci,11245274,0,"Saturday, February 16, 2013 07:24:33 UTC",33.6577,-116.7148,1.3,24.30,32,"Southern California"
nc,71938440,1,"Saturday, February 16, 2013 07:20:13 UTC",37.4570,-118.9210,1.9,15.10,37,"Central California"
us,c000f8e1,8,"Saturday, February 16, 2013 06:59:26 UTC",10.4933,-86.0693,4.4,47.50,101,"off the coast of Costa Rica"
nc,71938425,0,"Saturday, February 16, 2013 06:56:34 UTC",36.5750,-121.1628,1.5,3.60, 8,"Central California"
ci,11245250,0,"Saturday, February 16, 2013 06:09:55 UTC",36.6025,-118.0733,2.2,0.80,29,"Central California"
nc,71938375,1,"Saturday, February 16, 2013 05:37:36 UTC",38.7622,-122.7063,2.0,2.30,29,"Northern California"
nn,00403334,9,"Saturday, February 16, 2013 05:37:26 UTC",38.0292,-118.0472,2.0,6.60,37,"Nevada"
nc,71938355,0,"Saturday, February 16, 2013 05:17:37 UTC",38.7882,-122.7342,1.0,2.20,20,"Northern California"
us,c000f8cd,G,"Saturday, February 16, 2013 05:16:16 UTC",-36.0819,177.9294,5.7,190.30,520,"off the east coast of the North Island of New Zealand"
nn,00403329,9,"Saturday, February 16, 2013 05:05:47 UTC",38.0238,-118.0637,1.1,12.60,11,"Nevada"
nn,00403328,9,"Saturday, February 16, 2013 05:04:33 UTC",38.0308,-118.0402,1.5,7.60,13,"Nevada"
nc,71938345,1,"Saturday, February 16, 2013 04:48:00 UTC",39.5522,-122.6938,2.7,1.10,25,"Northern California"
nn,00403326,9,"Saturday, February 16, 2013 04:47:35 UTC",38.0463,-118.0210,1.3,0.10,12,"Nevada"
ci,11245194,0,"Saturday, February 16, 2013 04:40:01 UTC",32.8612,-116.2865,1.7,41.30,22,"Southern California"
ci,11245186,0,"Saturday, February 16, 2013 04:38:16 UTC",35.4260,-118.4667,1.2,6.50,22,"Central California"
us,c000f8be,A,"Saturday, February 16, 2013 04:37:36 UTC",5.7587,125.8378,6.2,98.20,238,"Mindanao, Philippines"
pr,13047002,0,"Saturday, February 16, 2013 04:23:05 UTC",17.9491,-66.0603,2.6,24.00, 5,"Puerto Rico region"
nc,71938340,0,"Saturday, February 16, 2013 03:46:54 UTC",38.7543,-122.7180,1.2,2.00,18,"Northern California"
pr,13047001,0,"Saturday, February 16, 2013 03:40:41 UTC",19.7280,-64.2740,3.3,13.00, 7,"Virgin Islands region"
